team,wins,losses,division,conference
TORONTO RAPTORS,48,34,ATLANTIC,EASTERN
BROOKLYN NETS,44,38,ATLANTIC,EASTERN
NEW YORK KNICKS,37,45,ATLANTIC,EASTERN
BOSTON CELTICS,25,57,ATLANTIC,EASTERN
PHILADELPHIA 76ERS,19,63,ATLANTIC,EASTERN
INDIANA PACERS,56,26,CENTRAL,EASTERN
CHICAGO BULLS,48,34,CENTRAL,EASTERN
CLEVELAND CAVALIERS,33,49,CENTRAL,EASTERN
DETROIT PISTONS,29,53,CENTRAL,EASTERN
MILWAUKEE BUCKS,15,67,CENTRAL,EASTERN
MIAMI HEAT,54,28,SOUTHEAST,EASTERN
WASHINGTON WIZARDS,44,38,SOUTHEAST,EASTERN
CHARLOTTE BOBCATS,43,39,SOUTHEAST,EASTERN
ATLANTA HAWKS,38,44,SOUTHEAST,EASTERN
ORLANDO MAGIC,23,59,SOUTHEAST,EASTERN
OKLAHOMA CITY THUNDER,59,23,NORTHWEST,WESTERN
PORTLAND TRAIL BLAZERS,54,28,NORTHWEST,WESTERN
MINNESOTA TIMBERWOLVES,40,42,NORTHWEST,WESTERN
DENVER NUGGETS,36,46,NORTHWEST,WESTERN
UTAH JAZZ,25,57,NORTHWEST,WESTERN
LOS ANGELES CLIPPERS,57,25,PACIFIC,WESTERN
GOLDEN STATE WARRIORS,51,31,PACIFIC,WESTERN
PHOENIX SUNS,48,34,PACIFIC,WESTERN
SACRAMENTO KINGS,28,54,PACIFIC,WESTERN
LOS ANGELES LAKERS,27,55,PACIFIC,WESTERN
SAN ANTONIO SPURS,62,20,SOUTHWEST,WESTERN
HOUSTON ROCKETS,54,28,SOUTHWEST,WESTERN
MEMPHIS GRIZZLIES,50,32,SOUTHWEST,WESTERN
DALLAS MAVERICKS,49,33,SOUTHWEST,WESTERN
NEW ORLEANS PELICANS,34,48,SOUTHWEST,WESTERN
