start_time,away_team,away_team_score,home_team,home_team_score
2024-10-22 23:30:00+00:00,NEW YORK KNICKS,,BOSTON CELTICS,
2024-10-23 02:00:00+00:00,MINNESOTA TIMBERWOLVES,,LOS ANGELES LAKERS,
2024-10-23 23:00:00+00:00,INDIANA PACERS,,DETROIT PISTONS,
2024-10-23 23:30:00+00:00,BROOKLYN NETS,,ATLANTA HAWKS,
2024-10-23 23:30:00+00:00,ORLANDO MAGIC,,MIAMI HEAT,
2024-10-23 23:30:00+00:00,MILWAUKEE BUCKS,,PHILADELPHIA 76ERS,
2024-10-23 23:30:00+00:00,CLEVELAND CAVALIERS,,TORONTO RAPTORS,
2024-10-24 00:00:00+00:00,CHARLOTTE HORNETS,,HOUSTON ROCKETS,
2024-10-24 00:00:00+00:00,CHICAGO BULLS,,NEW ORLEANS PELICANS,
2024-10-24 01:00:00+00:00,MEMPHIS GRIZZLIES,,UTAH JAZZ,
2024-10-24 02:00:00+00:00,PHOENIX SUNS,,LOS ANGELES CLIPPERS,
2024-10-24 02:00:00+00:00,GOLDEN STATE WARRIORS,,PORTLAND TRAIL BLAZERS,
2024-10-24 23:00:00+00:00,BOSTON CELTICS,,WASHINGTON WIZARDS,
2024-10-24 23:30:00+00:00,SAN ANTONIO SPURS,,DALLAS MAVERICKS,
2024-10-25 02:00:00+00:00,MINNESOTA TIMBERWOLVES,,SACRAMENTO KINGS,
2024-10-25 02:00:00+00:00,OKLAHOMA CITY THUNDER,,DENVER NUGGETS,
2024-10-25 23:00:00+00:00,BROOKLYN NETS,,ORLANDO MAGIC,
2024-10-25 23:00:00+00:00,PHILADELPHIA 76ERS,,TORONTO RAPTORS,
2024-10-25 23:30:00+00:00,CHARLOTTE HORNETS,,ATLANTA HAWKS,
2024-10-25 23:30:00+00:00,DETROIT PISTONS,,CLEVELAND CAVALIERS,
2024-10-25 23:30:00+00:00,INDIANA PACERS,,NEW YORK KNICKS,
2024-10-26 00:00:00+00:00,MEMPHIS GRIZZLIES,,HOUSTON ROCKETS,
2024-10-26 00:00:00+00:00,CHICAGO BULLS,,MILWAUKEE BUCKS,
2024-10-26 01:30:00+00:00,GOLDEN STATE WARRIORS,,UTAH JAZZ,
2024-10-26 02:00:00+00:00,PHOENIX SUNS,,LOS ANGELES LAKERS,
2024-10-26 02:00:00+00:00,NEW ORLEANS PELICANS,,PORTLAND TRAIL BLAZERS,
2024-10-26 21:00:00+00:00,LOS ANGELES CLIPPERS,,DENVER NUGGETS,
2024-10-26 23:00:00+00:00,CLEVELAND CAVALIERS,,WASHINGTON WIZARDS,
2024-10-26 23:00:00+00:00,BOSTON CELTICS,,DETROIT PISTONS,
2024-10-26 23:00:00+00:00,MIAMI HEAT,,CHARLOTTE HORNETS,
2024-10-27 00:00:00+00:00,ORLANDO MAGIC,,MEMPHIS GRIZZLIES,
2024-10-27 00:00:00+00:00,TORONTO RAPTORS,,MINNESOTA TIMBERWOLVES,
2024-10-27 00:00:00+00:00,OKLAHOMA CITY THUNDER,,CHICAGO BULLS,
2024-10-27 00:30:00+00:00,HOUSTON ROCKETS,,SAN ANTONIO SPURS,
2024-10-27 02:00:00+00:00,DALLAS MAVERICKS,,PHOENIX SUNS,
2024-10-27 02:30:00+00:00,SACRAMENTO KINGS,,LOS ANGELES LAKERS,
2024-10-27 19:30:00+00:00,PHILADELPHIA 76ERS,,INDIANA PACERS,
2024-10-27 22:00:00+00:00,NEW ORLEANS PELICANS,,PORTLAND TRAIL BLAZERS,
2024-10-27 22:00:00+00:00,MILWAUKEE BUCKS,,BROOKLYN NETS,
2024-10-27 23:00:00+00:00,ATLANTA HAWKS,,OKLAHOMA CITY THUNDER,
2024-10-28 00:30:00+00:00,LOS ANGELES CLIPPERS,,GOLDEN STATE WARRIORS,
2024-10-28 23:00:00+00:00,INDIANA PACERS,,ORLANDO MAGIC,
2024-10-28 23:30:00+00:00,WASHINGTON WIZARDS,,ATLANTA HAWKS,
2024-10-28 23:30:00+00:00,MILWAUKEE BUCKS,,BOSTON CELTICS,
2024-10-28 23:30:00+00:00,DENVER NUGGETS,,TORONTO RAPTORS,
2024-10-28 23:30:00+00:00,DETROIT PISTONS,,MIAMI HEAT,
2024-10-28 23:30:00+00:00,CLEVELAND CAVALIERS,,NEW YORK KNICKS,
2024-10-29 00:00:00+00:00,HOUSTON ROCKETS,,SAN ANTONIO SPURS,
2024-10-29 00:00:00+00:00,CHICAGO BULLS,,MEMPHIS GRIZZLIES,
2024-10-29 00:30:00+00:00,UTAH JAZZ,,DALLAS MAVERICKS,
2024-10-29 02:00:00+00:00,PORTLAND TRAIL BLAZERS,,SACRAMENTO KINGS,
2024-10-29 02:00:00+00:00,LOS ANGELES LAKERS,,PHOENIX SUNS,
2024-10-29 23:30:00+00:00,DENVER NUGGETS,,BROOKLYN NETS,
2024-10-29 23:30:00+00:00,DALLAS MAVERICKS,,MINNESOTA TIMBERWOLVES,
2024-10-30 01:00:00+00:00,SACRAMENTO KINGS,,UTAH JAZZ,
2024-10-30 02:00:00+00:00,NEW ORLEANS PELICANS,,GOLDEN STATE WARRIORS,
2024-10-30 23:00:00+00:00,DETROIT PISTONS,,PHILADELPHIA 76ERS,
2024-10-30 23:00:00+00:00,ATLANTA HAWKS,,WASHINGTON WIZARDS,
2024-10-30 23:00:00+00:00,BOSTON CELTICS,,INDIANA PACERS,
2024-10-30 23:00:00+00:00,LOS ANGELES LAKERS,,CLEVELAND CAVALIERS,
2024-10-30 23:00:00+00:00,TORONTO RAPTORS,,CHARLOTTE HORNETS,
2024-10-30 23:30:00+00:00,NEW YORK KNICKS,,MIAMI HEAT,
2024-10-31 00:00:00+00:00,ORLANDO MAGIC,,CHICAGO BULLS,
2024-10-31 00:00:00+00:00,BROOKLYN NETS,,MEMPHIS GRIZZLIES,
2024-10-31 01:30:00+00:00,SAN ANTONIO SPURS,,OKLAHOMA CITY THUNDER,
