player_name,player_age,salary_1,salary_2,salary_3,salary_4,salary_5,salary_guaranteed
Jimmy Butler,35,"$48,798,677","$52,413,394",,,,"$48,798,677"
Bam Adebayo,27,"$34,848,340","$37,096,620","$48,713,700","$52,610,796","$56,507,892","$173,269,456"
Tyler Herro,24,"$29,000,000","$31,000,000","$33,000,000",,,"$93,000,000"
Terry Rozier,30,"$24,924,126","$26,643,031",,,,"$51,567,157"
Duncan Robinson,30,"$19,406,000","$19,888,000",,,,"$29,294,000"
Haywood Highsmith,27,"$5,200,000","$5,616,000",,,,"$10,816,000"
Kel'el Ware,20,"$4,655,040","$4,887,720","$5,120,400","$7,849,573",,"$9,542,760"
Kevin Love,36,"$3,850,000","$4,150,000",,,,"$8,000,000"
Jaime Jaquez Jr.,23,"$3,685,800","$3,861,600","$5,939,141",,,"$7,547,400"
Josh Richardson,31,"$3,051,153",,,,,"$3,051,153"
Nikola Jović,21,"$2,464,200","$4,445,417",,,,"$6,909,617"
Thomas Bryant,27,"$2,087,519",,,,,"$2,087,519"
Alec Burks,33,"$2,087,519",,,,,"$2,087,519"
Warren Washington,24,,,,,,
Isaiah Stevens,23,,,,,,
Dru Smith,26,,,,,,
Zyon Pullin,23,,,,,,
Nassir Little,24,,,,,,
Keshad Johnson,23,,,,,,
Josh Christopher,22,,,,,,
